Anita Ward,Tennessee
Hunter Hunted,California
Hillary Scott,Tennessee
Wild Mountain Thyme,Wisconsin
Sleeping Bag,Indiana
Gap Dream,Ohio
Adonis Rose,Louisiana
The Octagon,New York
Oladipo Omishore,New York
Dexter Holland,California
Willy Joy,Illinois
Lucy Liu,New York
Jim Page,California
CNVCT,Texas
Bodies of Water,California
Proofreader,Minnesota
Abel Meeropol,New York
A//Political,Maryland
America's Hardcore,California
Earl Klugh,Michigan
West Angeles Church of God in Christ Mass Choir,California
Keverra,California
Ben Edmonds,Maine
Jimmy George,Texas
Bob Shane,Hawaii
Deondra Brown,Texas
Melody Brown,Texas
Amerikan Arsenal,California
Schuyler Fisk,California
Ess Vee,New Jersey
The Afflicted,California
Arthur Hamilton,Washington
Hoor-paar-Kraat,Florida
Ex-Boyfriends,California
Music & Spies,Massachusetts
Terry Mullan,Illinois
Armed Citizens,New York
John Train,Pennsylvania
Jeronimo Gomez,Texas
Poldine Carlo,Alaska
Ronnie Bright,New York
Rosario Ortega,Florida
Ray Tabano,New York
fade,New York
Jean McClain,Indiana
Nova Thomas,North Carolina
Lloyd Mayers,New York
Art Drelinger,Massachusetts
Yung Stet,Illinois
Will Bradley,New Jersey
Architects,Missouri
The Feverfew,New York
Roxanne Shanté,New York
Union 13,California
Tova Litvin,California
Joseph Orange,New York
James Curry,Texas
Bad Religion,California
FeSo,Mississippi
Skip Ward,Ohio
Page McConnell,Pennsylvania
Alkaline Trio,Illinois
Gordon,California
Jeff Ament,Montana
Grant Clarke,Ohio
Mick Morris,Utah
Chris Lightcap,Pennsylvania
Bad Meets Evil,Michigan
Butthole Surfers,Texas
MasterJace,New York
Nate Ruth,New Jersey
Bernie Hanighen,Nebraska
Adonis,Illinois
Desirae Brown,Texas
Flameing Daeth Fearies,Arkansas
Pissed Jeans,Pennsylvania
Gregory Brown,Texas
Amédé Ardoin,Louisiana
Pelican,Illinois
Eastmountainsouth,California
Demon Lung,Nevada
Califone,Illinois
Frank Liddell,Texas
Jack Webb,California
Legends of Rodeo,Florida
The Angelmakers,Iowa
Groovie Ghoulies,California
Anti-Product,New York
John Fumo,Wisconsin
Herb Wong,California
Angry Red Planet,Michigan
Red McKenzie,Missouri
David Johansen,New York
Brady Corbet,Arizona
Rosa King,Georgia
The Abused,New York
Dave Meros,California
Maps & Atlases,Illinois
The Library,California
Angry Samoans,California
Art,New York
The Ponys,Illinois
Angst,California
Antidote,New York
Earth,New Jersey
Yo La Tengo,New Jersey
Allen Blairman,Pennsylvania
Todd Canedy,Illinois
Loose Fur,Illinois
Nikki Reed,California
Conni Ellisor,Colorado
25 Suaves,Michigan
Los Skarnales,Texas
"Willie ""Too Big"" Hall",Tennessee
No Age,California
Bob Degen,Pennsylvania
Absolution,New York
Bear vs. Shark,Michigan
His & Her Vanities,Wisconsin
Victor Young,Illinois
Anarchist Drum Machine,Maryland
Anti-Heros,Georgia
"10,000 Hurts",California
Against All Authority,Florida
Angie Heaton,Illinois
Bootsy’s Rubber Band,Michigan
Pinchas Steinberg,New York
Cheramy Burgess,Utah
Craig Chaquico,California
Ezell Swang,Louisiana
Pookey Blow,Connecticut
Shellac,Illinois
Joe Gallardo,Texas
Dani Stevenson,Georgia
Ozone,Tennessee
The Sea and Cake,Illinois
Vattnet Viskar,New Hampshire
Ben Torgersen,Texas
13,California
Tortoise,Illinois
Bob Lanese,Ohio
BiG HueB,Missouri
Bill Miller,Wisconsin
Nestor Geli,California
Soni Ventorum Wind Quintet,Puerto Rico
Ryan Brown,Texas
Don Menza,New York
Allister,Illinois
ANTiSEEN,North Carolina
Richard Greene,California
Al Porcino,New York
Lions After Dark,Florida
Linda Caple-Adams,Washington
Alec Baldwin,New York
Muhal Richard Abrams,Illinois
John Grant,Michigan
Eric Bloom,New York
Nick Haggard and the Co-Morbidities,Oregon
Goldfinger,California
Laura Hugo,Arizona
Artistic Decline,California
Roll the Tanks,Massachusetts
Abusive Action,New York
Jimmy Lee Fautheree,Arkansas
Dee Rosario,Puerto Rico
Ambrose Akinmusire,California
Pheeroan akLaff,Michigan
Tony Aless,New Jersey
Roland Alexander,Massachusetts
Robert DeLong,Washington
Alvin Alcorn,Louisiana
Mel Brown,Oregon
Alana Evans,Kentucky
Alec Haavik,New York
Nov.47,Arkansas
The Suicide Commandos,Minnesota
Baby Baby,Georgia
David Amram,Pennsylvania
Past Lives,Washington
"Stanjay Da 5'4""",Georgia
Steven Drozd,Texas
Long Winters' Stare,Rhode Island
Louis Bacon,Kentucky
Lovie Austin,Tennessee
Fred Anderson,Louisiana
Benny Bailey,Ohio
Harry Babasin,Texas
Dave Ballou,Rhode Island
Reid Anderson,Minnesota
Donald Ayler,Ohio
Harold Ashby,Missouri
Peter Apfelbaum,California
birdpaula,Tennessee
Ross Valory,California
Danny Barker,Louisiana
Irving Ashby,Massachusetts
Eddie Barefield,Iowa
Cynthia Johnson,Minnesota
Chuck Berghofer,Colorado
Barney Bigard,Louisiana
Andrew Witzke,Oregon
Emmett Berry,Georgia
Aaron Bell,Oklahoma
Gary Bartz,Maryland
Hüsker Dü,Minnesota
Tommy Benford,West Virginia
Alvin Batiste,Louisiana
Gregg Bendian,New Jersey
Denzil Best,New York
Bill Barron,Pennsylvania
Bob Bates,Idaho
Bruce Barth,California
David Berger,New York
Peter Bernstein,New York
Thurman Barker,Illinois
Medically Separated,Louisiana
Carmen Bradford,Texas
Andy Bey,New Jersey
Don Braden,Ohio
Ray Bauduc,Louisiana
Keter Betts,New York
Bill Beason,Kentucky
Borah Bergman,New York
George Braith,New York
Sammy Benskin,New York
Milt Bernhart,Indiana
Dennis Budimir,California
Guillermo E. Brown,Connecticut
5051,California
Lee Blair,Georgia
Chester Boone,Texas
Gerry Brown,Pennsylvania
Sonny Brown,Ohio
Adam Levy,California
Lauren Béa,Texas
Dead L-vis,Oregon
Larry Bunker,California
Stanton Moore,Louisiana
Eddie Calhoun,Mississippi
Ernie Caceres,Texas
Wyatt Cenac,New York
Daniel Carter,Pennsylvania
Buddy Catlett,California
Royce Campbell,Indiana
Page Cavanaugh,Kansas
Marc Cary,New York
Teddy Bunn,New York
45 Grave,California
Paula Moore,Tennessee
Spellcaster,Oregon
David Chesky,Florida
Lenny Castro,New York
Anti-Bodies,Illinois
Stinky and the Spuds,New Jersey
ON AN ON,Minnesota
Dick Collins,Washington
Gene Cherico,New York
Jeannie Cheatham,Ohio
Sonny Clay,Texas
Alex Cline,California
Vilkacis,New York
Ambient Noise,New York
Gerald Cleaver,Michigan
Television,New York
Nobxdy,Illinois
Johnny Coles,New Jersey
Todd Coolman,Indiana
The Pine Valley Cosmonauts,Illinois
P.M. Sampson,New York
Bob Cunningham,Ohio
Jesse Davis,Louisiana
Lou Colombo,Massachusetts
Connie Crothers,California
Dick Davis,Mississippi
Ray Copeland,Virginia
Ray Crawford,Pennsylvania
Bill Goodwin,California
Andrew D'Angelo,Colorado
Les DeMerle,New York
Stanton Davis,Louisiana
Eric Dixon,New York
Mose Bellaire,Michigan
Millbrook,California
Kenwood Dennard,New York
Chi-Ali,New York
K-Swift,Maryland
Bill Dixon,Massachusetts
Billy Drewes,New York
Joe Dodge,Wisconsin
The UMC’s,New York
Jessica Fichot,New York
Pete Christlieb,California
Michael Landau,California
Gunslunglow,Colorado
Sylvia Marlowe,New York
George Duvivier,New York
Jerry Yester,Alabama
Eddie Edwards,Louisiana
Shane Endsley,Colorado
The Quarrymen,Illinois
Alfred Drake,New York
Don Bowman,Texas
East Flatbush Project,New York
Joe Farnsworth,Massachusetts
Bobby Few,Ohio
Burl Ives,Illinois
Ernie Farrow,West Virginia
Nick Fatool,Massachusetts
Glenn Ferris,California
Seven Planets,West Virginia
"Julius ""Geechie"" Fields",South Carolina
N*E*R*D,Virginia
100 Flowers,California
Ernie Fields,Texas
Greg Cohen,California
Kansas Fields,Kansas
Jimmy Forrest,Missouri
Michael Franks,California
Ken Filiano,New York
Pat Flowers,Michigan
Fran Frey,Indiana
Giacomo Gates,Connecticut
Hank Garland,South Carolina
Don Gais,New York
Tom Garling,Illinois
Dick Garcia,New York
Richard Fullbright,Texas
George Garzone,Massachusetts
James Genus,Virginia
Vincent Gardner,Illinois
Louis Garcia,Puerto Rico
101,New Jersey
A.D.'s,New York
Michael Patterson,Tennessee
Lloyd Glenn,Texas
Don Frye,Ohio
Earl Fuller,Ohio
Victor Goines,Louisiana
Larry Gales,New York
Vince Giordano,New York
Floyd E. Werle,Montana
Gordon Goodwin,Kansas
Sanford Gold,Ohio
Ben Goldberg,Colorado
The Airborne Toxic Event,California
I Was Afraid,Arkansas
Jasmine Ann Allen,Washington
Johnny Lee Middleton,Florida
Antischism,South Carolina
Roger Emerson,California
Bunky Green,Wisconsin
Aztek,Illinois
Jamey Haddad,Ohio
Kip Hanrahan,New York
Nora Chastain,California
Christine Joy Ritter,California
Gigi Gryce,Florida
No Exits,California
Shirley & Lee,Louisiana
Tom Harrell,Illinois
Herb Hardesty,Louisiana
Taylor Haskins,New Hampshire
Benny Harris,New York
John Hardee,Texas
Beaver Harris,Pennsylvania
Graham Haynes,New York
Hagood Hardy,Indiana
Julius Hemphill,Texas
Steven Caldicott Wilson,Virginia
井上ジョー,California
The A-Kings,New York
AK-47,Texas
“Hurricane” Jay LaBoy,Pennsylvania
Kings of Leon,Tennessee
Joe Hunt,Indiana
Zak Stevens,Florida
Darnell Howard,Illinois
T3h Shred Boiz,Kansas
Eternal Void,Ohio
Thomas M. Sleeper,Oklahoma
Bill Holman,California
Vince Benedetti,New Jersey
Noah Howard,Louisiana
Wayne Horvitz,New York
Armand Hug,Louisiana
Pee Wee Hunt,Ohio
Khan Jamal,Florida
Javon Jackson,Missouri
David Izenzon,Pennsylvania
Ross Tompkins,Michigan
Stafford James,Illinois
Abiotic,Florida
The Dread Crew of Oddwood,California
Kidd Jordan,Louisiana
Marco Mendoza,California
Willie Jones III,California
Alonzo Johnson,Indiana
Tiger Army,California
Minus the Bear,Washington
Jimmy DeGrasso,Pennsylvania
Harold Jones,Indiana
Russian Roulette,Illinois
Robin Kenyatta,South Carolina
Steel Phantoms,New York
Manny Klein,New York
Dan Burley,Kentucky
David Kikoski,New Jersey
Ryan Kisor,Iowa
Paul Bryant,New Jersey
Doug Fieger,Michigan
Bill Champlin,California
Terry Callier,Illinois
Radiance,Kansas
Leif Garrett,California
California Symphony,California
Teddy Kotick,Massachusetts
Charlie Kohlhase,New Hampshire
Harold Land,Texas
Dave Lambert,Massachusetts
Byard Lancaster,Pennsylvania
Ben Kynard,Arkansas
John LaPorta,Pennsylvania
Arnie Lawrence,New York
Carter Scholz,New York
Thunder Driver,Illinois
Lower Level Organization,Louisiana
2-Tone,Texas
John Lindberg,Michigan
Howard Levy,New York
Jason Lindner,New York
Race for Titles,Nebraska
Corinne Chapelle,California
The Smashing Pumpkins,Illinois
Attika 7,California
Strike Anywhere,Virginia
John Carlini,New York
Russ Lossing,Ohio
The Aggrolites,California
Synthetic Block,Connecticut
Noah Gundersen,Washington
Jimmy Lyons,New Jersey
Warren Luening,Louisiana
Brian Lynch,Illinois
Joe Magnarelli,New York
Frank Tribes,Illinois
Mike Smith,Maryland
Benjamin Gibbard,Washington
Puerto Rock,New York
Tuft,Massachusetts
Ben Bocardo,Texas
Elaine Leighton,New York
Lydia Lunch,New York
Emily Warren,New York
Wingy Manone,Louisiana
Rudresh Mahanthappa,Colorado
Sax Mallard,Illinois
George Masso,Rhode Island
Jo-Ann Pickens,Texas
Joe Maneri,New York
Sabir Mateen,Pennsylvania
Carmen Mastren,New York
Keshavan Maslak,Michigan
Warne Marsh,California
Vapourspace,New York
Joshua Woods,Alaska
honeyhoney,California
Butch Miles,Ohio
Ron Miles,Indiana
John Medeski,Kentucky
Bobby Militello,New York
Louis Metcalf,Missouri
Jim McNeely,Illinois
Lou McGarity,Georgia
Dom Minasi,New York
Rudy Gatlin,Texas
